city,country,station_id,station_name,lat,lon,elevation,distance_to_city_km,category,ndvi_mean,n_days,bias,mae,rmse,std_error,correlation,error_p05,error_p25,error_p50,error_p75,error_p95,mean_station_temp,mean_era5_temp,bias_Winter,rmse_Winter,n_days_Winter,bias_Spring,rmse_Spring,n_days_Spring,bias_Summer,rmse_Summer,n_days_Summer,bias_Fall,rmse_Fall,n_days_Fall,distance_to_coast_km
Berlin,DEU,4443,NEUBRANDENBURG,53.54805555322447,13.19305555555555,81,117.32198611115587,Rural,0.5196850393700787,1461,-0.840674697071783,1.0655120786944943,1.3173749489286364,1.0146168873672703,0.9941982877757615,-2.424041748046875,-1.4779479980468757,-0.8181335449218752,-0.23499145507812536,0.778118896484375,14.18384668035592,13.343172,-0.3760038338869893,0.9484358997288754,361,-0.9835347714631455,1.431547334909399,368,-1.4145851798679518,1.7005032686033597,368,-0.5768686986231543,1.0384087716224635,364,257.2996018291891
Berlin,DEU,4449,MENZ,53.10305555314252,13.043888888888894,77,71.17569811009922,Rural,0.3720472440944882,1461,-0.9640083955298704,1.2568107505761785,1.57341626291444,1.2439395795316468,0.9938758928653436,-3.0610534667968743,-1.8581604003906254,-0.9358947753906257,-0.05903930664062518,0.948193359375,14.542026009582477,13.578018,-0.09165826940140233,0.8290608118986502,361,-1.2321000472359034,1.6571668905578985,368,-1.9192765940790595,2.2085480352538203,368,-0.592365457723429,1.2438724000343828,364,302.4575636067561
Berlin,DEU,4498,OSCHATZ,51.29694444165711,13.094444444444449,150,135.7077872446024,Rural,0.3809055118110236,1461,-1.1176069673489903,1.3072157090204697,1.563302580970981,1.0934752077926082,0.9941752857646902,-2.8295532226562496,-1.844329833984375,-1.1435424804687493,-0.442718505859375,0.6987854003906251,15.629842573579738,14.512236,-0.5851663436255626,1.0693426109484212,361,-1.202607760222062,1.5848759276705475,368,-1.7469665029774541,2.062651751375557,368,-0.9234489021720468,1.3544154739544478,364,462.26885798867255
Berlin,DEU,4529,BERLIN-BUCH,52.63249999749598,13.503888888888895,60,16.130359267711263,Suburban,0.4119094488188976,1461,-1.1695757459239713,1.3407721486179736,1.6357371661561155,1.1439512034376749,0.9932600271073441,-3.0185668945312507,-1.9680236816406236,-1.0861938476562498,-0.43016967773437464,0.5367492675781254,15.39993155373032,14.230356,-0.5467641391912655,1.0516447060955654,361,-1.6872203163478685,2.0413361834297987,368,-1.71313999010169,1.9936017860726376,368,-0.7143838400369164,1.1880603705808404,364,310.8674790621326
Berlin,DEU,4533,BERLIN-DAHLEM (LFAG),52.4577777752389,13.301388888888885,55,8.388458850502818,Urban,0.4311023622047244,1461,-0.7853615762761486,1.0366851326213316,1.2857979369126877,1.0184269484373256,0.9933781474225963,-2.4554870605468757,-1.4477478027343764,-0.7607238769531257,-0.122161865234375,0.852081298828125,15.29917864476386,14.513818,-0.5038943642064144,1.0329603174177893,361,-1.1356646164603854,1.5664684790136087,368,-0.9628525609555453,1.3484578424341702,368,-0.5309150444282281,1.1218258734276867,364,339.3800911527585
Berlin,DEU,4546,BERLIN-KANISWALL,52.4055555530061,13.732777777777784,33,24.895657300625174,Suburban,0.639763779527559,105,-1.8239624604724702,1.957680373418899,2.198177164471131,1.2327271902672015,0.9796108655708587,-3.5158923339843775,-2.6056396484374993,-1.9799011230468757,-1.0110534667968754,0.5074011230468748,17.289523809523807,15.465561,,,0,-1.800156453450521,2.2079922251097033,90,-1.9667985026041668,2.1383409288387587,15,,,0,320.4997736508006
Berlin,DEU,4556,BERLIN-LICHTENRADE,52.40805555300656,13.414166666666658,47,10.435766699402928,Urban,0.46653543307086615,1461,-0.9509778951635759,1.1450553794824285,1.387607111846501,1.0108382262157454,0.9938540491605028,-2.5625671386718736,-1.6030944824218736,-0.9522644042968746,-0.341827392578125,0.7047485351562504,15.573442847364818,14.622465,-0.6407723804590114,1.161302491586995,361,-1.1969433494236157,1.582325784190579,368,-1.2934840326723847,1.5895888310893673,368,-0.6636884584531679,1.1423334866381532,364,337.283749168388
Berlin,DEU,4559,BERLIN-LICHTERFELDE (SUD),52.41555555300811,13.305277777777775,43,11.605749934147298,Urban,0.46259842519685035,1461,-0.7057676384499593,0.9929284818363385,1.2415478239285807,1.0217864998567627,0.9932406889507709,-2.3714416503906257,-1.3671081542968757,-0.6798278808593743,-0.06111450195312518,0.9191223144531246,15.29917864476386,14.593411,-0.4367233149562846,1.0080704171483363,361,-1.0742376244586447,1.5239871080479908,368,-0.8386481741200325,1.269438457089307,368,-0.4657346956022493,1.0962962217407457,364,343.0499223738559
Berlin,DEU,4561,BERLIN-MARZAHN,52.54583333081212,13.561666666666675,60,11.90621296250253,Urban,0.46702755905511817,1461,-0.9462211969207199,1.15175673049415,1.4038850925657014,1.0374466172943362,0.9935463836248069,-2.5995849609374986,-1.6212707519531264,-0.9320800781249998,-0.3011962890624993,0.6749694824218757,15.398699520876113,14.452478,-0.5736007901770256,1.1178175433201967,361,-1.3480726490850032,1.7443479860302442,368,-1.2013972075089163,1.5111878680197641,368,-0.6515230115953383,1.134221014907683,364,315.7503591980877
Berlin,DEU,4563,BERLIN-MITTE,52.53305555303175,13.383055555555552,35,3.736621210134306,Urban,0.16141732283464566,1461,-1.0093650530659115,1.1771437042466097,1.4205625112555675,0.9999322016632118,0.9940534769424972,-2.6077331542968736,-1.6835388183593736,-1.016571044921875,-0.3792785644531236,0.6253784179687498,15.548254620123203,14.53889,-0.6894675806949013,1.1647446542573672,361,-1.2687842825184696,1.623416158324903,368,-1.362288533086362,1.6467493277631353,368,-0.7075542575710422,1.1611363160365966,364,327.40906366727063
